rid,country,location_name,latitude,longitude,timezone,last_updated,temperature_celsius,temperature_fahrenheit,condition_label,wind_kph,humidity,cloud,feels_like_celsius,feels_like_fahrenheit,air_quality_Ozone,sunrise,sunset,moonrise,moonset
203.205.158.63-10.42.0.151-80-34810-6,Afghanistan,Kabul,34.52,69.18,Asia/Kabul,29-08-23 14:00,28.8,83.8,0,11.5,19,0,26.7,80.1,130.2,5:24 AM,6:24 PM,5:39 PM,2:48 AM
220.243.219.55-10.42.0.42-80-37086-6,Albania,Tirana,41.33,19.82,Europe/Tirane,29-08-23 11:30,27,80.6,0,6.1,54,75,28,82.3,104.4,6:04 AM,7:19 PM,6:50 PM,3:25 AM
172.217.12.170-10.42.0.42-443-40096-6,Algeria,Algiers,36.76,3.05,Africa/Algiers,29-08-23 10:30,28,82.4,1,13,30,25,27.4,81.3,16.6,6:16 AM,7:21 PM,6:46 PM,3:50 AM
10.42.0.211-23.52.146.64-33393-443-6,Andorra,Andorra La Vella,42.5,1.52,Europe/Andorra,29-08-23 11:30,10.2,50.4,0,9.7,51,6,8.9,48,68,7:16 AM,8:34 PM,8:08 PM,4:38 AM
172.217.10.67-10.42.0.151-443-52315-6,Angola,Luanda,-8.84,13.23,Africa/Luanda,29-08-23 10:30,25,77,0,3.6,69,75,26.9,80.4,147.3,6:11 AM,6:06 PM,4:43 PM,4:41 AM
10.42.0.151-123.125.115.190-35010-80-6,Antigua and Barbuda,Saint John's,17.12,-61.85,America/Antigua,29-08-23 5:30,29,84.2,0,15.1,79,75,34,93.2,16.6,5:53 AM,6:23 PM,5:36 PM,4:09 AM
174.129.31.175-10.42.0.211-443-41085-6,Argentina,Buenos Aires,-34.59,-58.67,America/Argentina/Buenos_Aires,29-08-23 6:30,9,48.2,0,11.2,71,0,8,46.4,18.8,7:18 AM,6:34 PM,4:57 PM,6:32 AM
172.217.11.14-10.42.0.211-443-48510-6,Armenia,Yerevan,40.18,44.51,Asia/Yerevan,29-08-23 13:30,31,87.8,0,9,26,25,29,84.2,121.6,6:26 AM,7:39 PM,7:05 PM,3:45 AM
10.42.0.151-10.42.0.1-63501-53-17,Australia,Canberra,-35.28,149.22,Australia/Sydney,29-08-23 19:30,13,55.4,1,15.1,62,0,12.7,54.8,44,6:27 AM,5:42 PM,3:19 PM,5:17 AM
10.42.0.211-23.205.16.85-52452-80-6,Austria,Vienna,48.2,16.37,Europe/Vienna,29-08-23 11:30,16,60.8,1,19.1,82,75,16,60.8,30,6:07 AM,7:43 PM,7:27 PM,3:11 AM
